word;pos_neg
без помилок;1
без потреби;-1
без проблем;1
без фінансування;-1
безальтернативний;-1
безбожний;-1
безбожність;-1
безболісна;1
безболісно;1
безвинний;-1
безвихідний;-1
безвихідність;-1
безвихідь;-1
безвольний;-1
безвідповідальний;-1
безвідповідально;-1
безвідповідальність;-1
безвірний;-1
безглуздя;-1
безглуздість;-1
безгрошовий;-1
безгрішний;1
бездарний;-1
бездоганний;1
бездонна;-1
бездонно;-1
бездоріжжя;-1
бездумність;-1
бездуховний;-1
бездушний;-1
бездіяльний;-1
бездіяти;-1
безжалість;-1
безжурний;1
беззавітний;1
беззахисний;-1
беззмістовний;-1
беззубий;-1
безкарний;-1
безкомпромісно;-1
безконтрольний;-1
безкорисливий;1
безкоштовно;1
безлюбний;-1
безмозковий;-1
безнадійно;-1
безнадія;-1
безособовий;-1
безпека;1
безперебійний;1
безперервність;1
безперспективний;-1
безплідна;-1
безплідний;-1
безповоротна;-1
безповоротно;-1
безповоротність;-1
безпокійний;-1
безпомилковий;1
безпомилково;1
безпомилковість;1
безпорадний;-1
безпорадно;-1
безпорадність;-1
безправний;-1
безпритульний;-1
безпроблемна;1
безпрограшний;1
безпросвітний;-1
безпутний;-1
безпідставні;-1
безпілотники;-1
безрезультатний;-1
безрезультатно;-1
безризикові;1
безробіття;-1
безсилий;-1
безславно;-1
безсмачний;-1
безсмертний;1
безсовісний;-1
безсоромність;-1
безстрашно;1
безсумнівний;1
безсумнівно;1
безтактовний;-1
безталанний;-1
безтолковий;-1
безтрошний;-1
безтурботний;1
безтурботно;-1
безумний;-1
безумство;-1
безупинно;-1
безуспішний;-1
безхмарний;1
безхребетний;-1
безцеремонний;-1
безцінні;1
безчесно;-1
безчуття;-1
безчуттєвий;-1
безшовні;1
безшумний;1
безідейний;-1
безініціативний;-1
бемоан;-1
бенефіціар;1
бентежити;-1
бентежить;-1
берегти;1
березня;-1
берсерк;-1
бестселер;1
бздун;-1
бздюха;-1
бився;-1
бидло;-1
бик;-1
битва;-1
бити;-1
битися;-1
бич;-1
бичачий;1
бла;-1
благий;1
благовихований;1
благоговійно;1
благоговіння;1
благодійні;1
благодійність;1
благозвучний;1
благополучно;1
благополуччя;1
благородно;1
благородство;1
благорозумний;1
благословенний;1
благословити;1
благословляти;1
благосний;1
благотворний;1
благоустрій;1
благочестивий;1
благочестя;1
блаженний;1
блаженно;1
блазень;-1
блакитний;1
блакить;1
блатний;-1
ближній;1
близький;1
блискавка;1
блискуче;1
блискучості;1
блокада;-1
блокадний;-1
блокбастер;1
блокпости;-1
блокуватися;-1
блукання;-1
блювати;-1
блювотиння;-1
блюзнірський;-1
блядство;-1
блядь;-1
бляклий;-1
блідий;-1
бліднути;-1
блідіє;-1
блін;-1
богатирський;1
богиня;1
богобоязливий;-1
боговгодно;1
богомерзенний;-1
богоподібний;1
богословський;1
божественний;1
божественно;1
божество;1
божеський;1
бойкот;-1
бойовий;-1
бойові дії;-1
болота;-1
болото;-1
болі в голові;-1
боліло;-1
боліти;-1
бомбардувальник;-1
бомбардувати;-1
бомбастичний;-1
бомбити;-1
бомбування;-1
бомж;-1
бонкери;-1
бонус;1
бонуси;1
борговий;-1
боргів;-1
бореться;-1
борець;1
боровся;-1
борона;-1
боротися;-1
боягузливість;-1
боягузтво;-1
боязкуватий;-1
боязнь;-1
боятися;-1
бояться;-1
бравада;-1
браво;1
брак;-1
браконьєр;-1
бракувало;-1
бракувати;-1
бранка;-1
братній;1
братовбивчий;-1
братський;1
браття;1
брехливий;-1
брехун;-1
брехуни;-1
бризкання;-1
бризки;-1
брови;-1
броньований;1
брудний;-1
бруднити;-1
брудно;-1
брусковий;-1
брутальний;-1
бруталізувати;-1
брутто;-1
брязкали;-1
брязкальце;-1
брязкальця;-1
брязкати;-1
буденний;-1
буденність;-1
буйство;-1
букет;1
булька;-1
бунт;-1
бунтувати;-1
бунтівний;1
бунтівник;-1
буржуазія;-1
буржуй;-1
буркотливий;-1
бурхливість;1
буря;-1
бур’ян;-1
бусурман;-1
бухати;-1
бюрократ;-1
бюрократизм;-1
бюрократія;-1
бюст;-1
бюсти;-1
бідно;-1
бідняки;-1
бідніший;-1
бідолаха;-1
бідолашний;-1
біженець;-1
бійка;-1
бікер;-1
білабор;-1
білегер;-1
білосніжний;1
біль;-1
біль у спині;-1
більш відомий;1
більш галасливий;-1
біс;-1
бісексуал;-1
в достатку;1
в пастці;-1
в розпачі;-1
в ідеалі;1
в'язаний;1
в'язкість;-1
в'язниця;-1
в'ялість;-1
вабить;1
вагаючись;-1
вади;-1
важелі;1
важке становище;-1
важко на чолі;-1
важковиліковний;-1
важкосердечний;-1
важкувато;-1
важливий;1
важливо;1
важливість;-1
валити;-1
валитися;-1
валиться;-1
валятись;-1
вандал;-1
вандалізм;-1
варвар;-1
варварство;-1
варення;-1
варте;1
вартий;1
вартий часу;1
вау;1
ваххабіт;-1
вбивати;-1
вбиває;-1
вбивство роботи;-1
вбивчо;-1
вбитий;-1
вбито;-1
вважати;-1
вводити в оману;-1
ввічливий;1
вгадувати;1
вгамовуватися;-1
вдавати;-1
вдалий;1
вдало;1
вдалося;1
вдаритися;-1
вдача;-1
вдержатися;-1
вдосконалений;1
вдосконалити;1
вдосконалюватися;1
вдумливий;1
вдумливість;1
вдячно;1
веде;1
ведмежий;-1
везучий;1
великий;1
великий палець вниз;-1
великий палець догори;1
великодушно;1
великомасштабний;1
великорос;-1
великоруський;1
великосвітський;-1
великої ємності;1
великі пальці вниз;-1
величність;1
вельмишановний;1
венеричний;-1
вентиляційний отвір;-1
вереск;-1
верескливий;-1
верещати;-1
верзтися;-1
верховенство;1
верхівки;1
вершина;1
веселий;1
веселитись;1
веселитися;1
веселощі;1
вести;1
ветхий;-1
вечір;1
вечірка;1
вживання;-1
взаємний;1
взаємовигідний;1
взаємоприйнятний;1
вибагливо;-1
вибачте;-1
вибування;-1
вибух;-1
вибухати;-1
вибуховий;-1
вибухівка;-1
вибірковий;1
вивергання;-1
виверження;-1
вивих;-1
вивчення;1
вигаданий;-1
вигадливо;-1
вигнавши;-1
вигнанець;-1
виготовлення;-1
виграв;1
виграти;1
виграш;1
виграшно;1
вигрібати;-1
вигук;-1
вигуки;-1
вигідніший;1
видавлювати;-1
видалений;-1
видалити;-1
видаляти;-1
видатність;1
видворяти;-1
видимі;1
видний;1
видовищний;1
виживання;1
виживший;1
вижити;-1
визволення;1
визвольний;1
визнаний часом;1
визнання;1
визнати недійсним;-1
визначний;1
викидати;-1
викинути;-1
викликає;1
виключення;-1
виключно;1
виконання;1
виконати;1
використати;1
викорчувати;-1
викорінення;1
викорінити;-1
викрадати;-1
викрадач;-1
викрадення;-1
викривальний;-1
викривач;-1
викривлене;-1
викрити;-1
викручуватися;-1
викупити;1
викурювати;-1
вилупок;-1
вилучення;-1
виляти;-1
вилікувати;1
вимагання;-1
вимивати;-1
вимиваються;-1
вимирання;-1
вимирати;-1
вимогливий;1
винагорода;1
винагородити;1
винахідливий;1
винахідницький;1
винен;-1
вини;-1
винищення;-1
винність;-1
винуватець;-1
винуватий;-1
винувато;-1
випадання;-1
випадковий;-1
випадковість;-1
випалювати;-1
випарів;-1
випереджати;1
випередити;1
виплавлений;-1
випльовує;-1
виплюнув;-1
виплюнути;-1
виповнити;-1
випотрошувати;-1
виправдатися;1
виправдувальний;1
випробувальний;-1
випробувально;-1
випробування;-1
випрямити;1
випрямлення;1
випрямляючий;1
випустити;-1
випіт;1
вираз на очах;-1
виразка;-1
виразковий;-1
виразний;1
виразник;-1
вирвало;-1
вирвати;-1
вириватися;-1
вироджений;-1
вироджуватися;-1
виродки;-1
вирок;-1
виростити;1
виручати;1
вирізняти;1
вирішальний;1
вирішувач проблем;1
висадка;-1
висвітлити;1
виселення;-1
висип;-1
висловлювати жаль;-1
виснажувати;-1
виснажуються;-1
виснажуючий;-1
висока якість;1
високий;1
високоефективний;1
висококваліфікований;1
високоморальний;1
високоміцний;1
високооплачуваний;1
високоосвічений;1
високоповажний;1
високопродуктивний;1
високопрофесійний;1
високотехнологічний;1
високоточний;1
високохудожній;1
високоякісний;1
вистачало;1
вистачає;1
вистежувати;-1
вистражданий;1
вистрілювати;-1
вистуки;-1
виступ;-1
виступав;1
виступати;-1
висувний;1
висушений;-1
висушити;-1
витвір мистецтва;1
витоку;-1
витончений;1
витонченість;1
витрата;-1
витратити;-1
витратний;-1
витриваліший;1
витримати;1
витягнути;-1
витіснити;-1
витісняти;-1
вихваляти;-1
вихваляючи;1
вихлюпуватися;-1
виховання;1
вихованою;1
вишкребок;-1
вишуканий;1
вишукано;1
вищий;1
вищим чином;1
виїдати;-1
вкинути;-1
вкрав;-1
вкрадене;-1
вкусити;-1
владно;-1
власні інтереси;-1
власність;-1
властивий;1
вм'ята;-1
вм'ятина;-1
вм'ятини;-1
вмирати;-1
вмовляюче;-1
вмілий;1
внаслідок цього;-1
внесок;1
вовтузіння;-1
вогневий;-1
вогненний;1
вогник;1
вогняний;1
возитися;-1
войовниче;-1
волати;-1
воловий;-1
вологий;-1
волокно;-1
волонтер;1
вольовий;1
воліють;1
ворогів;-1
вороже;-1
ворожість;-1
ворсинка;-1
ворсинчастий;-1
ворушитися;-1
воскресіння;1
воспламеняющий;1
воююча;-1
воєнний;-1
воістину;1
впадаючий;1
впарювати;-1
впевнений;1
впертість;-1
впорядкований;1
впорядковано;1
впровадження;1
вражав;1
вражаючий;1
вражаючість;1
вразити;1
вразливий;-1
вразливіший;-1
врегулювання;1
вриватися;-1
врода;1
вродливий;1
врівноважений;1
все довкола;1
всеблагий;1
вселенський;1
всемогутня;1
всемогутній;1
всеосяжний;1
всеохоплюючий;1
всепереможний;1
всепроникний;-1
всеросійський;1
всесвітньо відомий;1
всміхатися;1
встановлення записів;1
всюдисущий;1
втомливо;-1
втомлюватися;-1
вторгатися;-1
вторгнутися;-1
втрата волосся;-1
втрати;-1
втрачений;1
втричі;-1
втягнуті;-1
втягувати;-1
втік;-1
втікати;-1
втілити;1
втілитися;1
втілювати;1
втішати;1
втішний;1
втішно;1
вужчі;-1
вузьколобий;-1
вуйко;-1
вульгарний;-1
вундеркінд;1
вуу;1
вціліти;1
вчинений;-1
вчинити;-1
вшанований;1
вібрація;-1
вібрував;-1
вібрувати;-1
вібруючий;-1
вібрує;-1
від радості;1
від усього серця;1
відбивати;-1
відбито;-1
відблиски;-1
відбування;-1
відбувати;-1
відбудовувати;1
відвага;1
відверто;-1
відволікання уваги;-1
відволікати;-1
відволікаючий;-1
відганяти;-1
відгороджувати;-1
відданий;1
відданість;1
віддача;-1
віддаючи перевагу;1
віддає перевагу;1
відділок;-1
відзначився;1
відкат;-1
відкидати;-1
відкидаючи;-1
відкидає;-1
відкликати;-1
відключити;-1
відкритий;1
відкрито;1
відкушувати;-1
відлупцювати;-1
відмивання;-1
відмовив;-1
відмовити;-1
відмовитись;-1
відмовитися;-1
відмовлено;-1
відмовлятися;-1
відмовляючи;-1
відмовляє;-1
відмовний;-1
відморозок;-1
відмінний;1
відмінник;1
відмінниця;1
відмінні;1
відмітна ознака;1
відмітні ознаки;1
відновлений;1
відновлення;1
відновлювальний;1
відновлювати;1
відняти;-1
відображати;1
відповідальний;-1
відповідально;1
відповідальність;-1
відрази;-1
відразливо;-1
відразливість;-1
відректися;-1
відреставрований;1
відривистий;-1
відринутий;-1
відроджуватися;1
відроджує;1
відроджується;-1
відродити;1
відрубувати;-1
відрізати;-1
відрізний;1
відсахнутися;-1
відсвяткувати;1
відсидка;-1
відставали;-1
відставка;-1
відсталі;-1
відстає;-1
відсторонення;-1
відстороняти;-1
відступили;-1
відступити;-1
відсутній;-1
відсіву;-1
відторгнення;-1
відтяти;-1
відхилено;-1
відхиляти;-1
відхилятися;-1
відходи;-1
відхожий;-1
відхідливий;1
відчайдушний;-1
відчайдушно;-1
відчуження;-1
відчужувати;-1
відштовхнути;-1
відштовхування;-1
відщепенець;-1
візантійський;-1
візіонер;1
війна;-1
віктимізувати;-1
віллиально;-1
віллизувати;-1
вільний;1
вільно;1
вільнодумний;1
вірити;-1
віроломний;-1
віроломно;-1
віртуозно;1
вірулентний;-1
вірулентно;-1
вірулентність;-1
вірус;-1
вірусний;-1
віск;-1
вітатися;1
вітаю;1
вітерець;1
віщий;1
в’янення;-1
гавані;-1
гадюка;-1
гайдамацтво;-1
галантний;1
галантно;1
галасливо;-1
гальмо;-1
гальмування;-1
гальмувати;-1
галюцинація;-1
галюцинації;-1
галів;-1
гарантований;1
гарантувати;1
гарантійний;1
гарезувати;1
гармонізувати;1
гармонійний;1
гарненька;1
гарненький;1
гарненько;1
гарпія;-1
гарчати;-1
гаряча голова;-1
гарячий;1
гарячий пиріг;1
гарячковий;-1
гарячі;1
гарячі пиріжки;1
гасла;-1
гасло;-1
гаснути;-1
гаспид;-1
гвалтувати;-1
гегемонізм;-1
гегемоністичний;-1
гегемонія;-1
гедоністичний;-1
гейнсей;-1
гекл;-1
генералісимус;1
геноцид;-1
геніальний;1
геніальність;1
геній;1
герой;1
геройство;1
героїв;1
героїзувати;1
героїн;-1
героїня;1
гетто;-1
гидота;-1
гидувати;-1
гинути;-1
глибокий;1
глибоко;1
глибокодумний;1
глузливий;-1
глузливість;-1
глузували;-1
глузувати;-1
глузує;-1
глухий;-1
глухий удар;-1
глушини;-1
глюк;-1
глюки;-1
гліб;-1
гнаний;-1
гнида;-1
гнисти;-1
гниття;-1
гнобитель;-1
гнобителі;-1
гнобити;-1
гнути;-1
гнучкий;1
гнучкі;1
гнучкість;1
гнівний;-1
гніт;-1
гнітюча;-1
гнітючий;-1
гнітючість;-1
годовий;-1
годіння;-1
головне;1
голодомор;-1
голодування;-1
голодувати;-1
голосистий;-1
голосити;-1
голослівний;-1
голосніше;-1
голубий;1
гомеричний;-1
гомофоб;-1
гоніння;-1
гопник;-1
горбкуватий;-1
гордовитий;-1
гордовито;-1
горе;-1
горе-горе;-1
горезвісний;-1
горезвісно;-1
горлати;-1
горілий;-1
горіти;-1
господарський;1
гостинний;1
гостинність;1
гострий;1
гострий як бритва;1
гостро;1
гостріше;1
готовий;1
готовність;1
готівкою;-1
грабки;-1
грабіж;-1
грабіжницький;-1
град;1
грайливо;1
грамотний;1
грамотно;1
гранатомет;-1
граничний;-1
грейфер;-1
грибковий;-1
гризти;-1
гримаса;-1
гримати;-1
грозитися;-1
громада;1
громіздкіший;-1
гротескний;-1
грубо;-1
грубуватий;-1
грузливий;-1
грунтовний;1
групка;-1
грязюка;-1
грізний;1
гріховний;-1
гріховно;-1
гріш;-1
губити;-1
губитися;-1
гуд;1
гудіння;-1
гуляти;1
гуманістичний;1
гумористичний;1
гуморний;1
гусина;-1
гуф;-1
гучно;-1
гівняний;-1
гідно;1
гільза;-1
гімно;-1
гіпертонічний;-1
гіпертонія;-1
гіпертрофований;-1
гіпноз;-1
гіпнотичний;1
гіркий;-1
гірко;-1
гіркота;-1
гірше;-1
гітлерівець;-1
гітлерівський;-1
давити;-1
давньоруський;1
далекоглядний;1
данке;1
данкен;1
данс;-1
даремний;-1
дарований богом;1
дарувати;1
дбайливий;1
дволикий;-1
дволикі;-1
двосторонній;1
двоякий;-1
двоярусний;-1
двієчник;-1
де в біса;-1
дебаза;-1
деблокування;1
дебіл;-1
дебіли;-1
дебільний;-1
дебільність;-1
дев'яностий;-1
девіантний;-1
дегенерат;-1
дегенеративний;-1
дегенеративно;-1
дегенерація;-1
дегуманізація;-1
дедвейт;-1
дезавуювати;-1
дезадаптація;-1
дезафірмувати;-1
дезертирство;-1
дезертирувати;-1
дезорганізований;-1
дезорієнтований;-1
дезорієнтує;-1
дезінформація;-1
дезінформований;-1
декаданс;-1
декадентський;-1
декламувати;-1
декласований;-1
декремент;-1
делікатес;1
делірійний;-1
демократичний;1
демонізований;-1
демонізувати;-1
демонізуючий;-1
демонізує;-1
деморалізувати;-1
деморалізуючи;-1
деморалізуючий;-1
демпфер;-1
демпінгувати;-1
депортація;-1
депресивний;-1
дерьмовий;-1
десорбційний;-1
деспойлер;-1
деспотія;-1
деструктивний;-1
дефекти;-1
дефектний;-1
деформований;-1
деформувати;-1
дефіле;-1
дефініфікований;1
дешевше;1
джинса;-1
дзвін;-1
дзвінка;1
дивацтва;-1
диверсант;-1
диверсифікований;1
диверсійний;-1
дивний;1
диво;1
дивовижні;1
дивом;1
дивувати;1
дивуватися;1
дизайнерський;1
дико;-1
диктатор;-1
диктаторський;-1
дикуни;-1
дилема;-1
дилетантський;-1
дим;-1
диммер;-1
димова завіса;-1
динамічний;1
динки;-1
диплом;1
дипломатія;1
дисбаланс;-1
дисгармонійний;-1
дисидент;-1
дисиденти;-1
дисинг;-1
дискомболювати;-1
дискомфортний;-1
дискредитація;-1
дискримінувати;-1
дискусар;-1
дискусійний;-1
дисонанс;-1
дисонансний;-1
дисонансно;-1
дисоціальні;-1
дисфункція;-1
дитинство;1
дитя;1
дифіденція;-1
диявольство;-1
диявольсько;-1
добити;-1
добре вихована;1
добре вихований;1
добре встановлений;1
добре відомий;1
добре запущений;1
добре збалансований;1
добре зв’язані;1
добре зробив;1
добре керований;1
добре обізнані;1
добре округлі;1
добре освічений;1
добре прийнятий;1
добре підсвічується;1
добре розглянутий;1
добре розміщений;1
добрий;1
добро;1
доброволець;1
добровольчий;1
добровільно;1
добродушний;1
добродійний;1
доброзичливці;1
добропорядний;1
добросовісний;1
добротний;1
доброчесно;1
доброякісний;1
доброї волі;1
добріти;1
добірний;-1
довгий;-1
довгий час;-1
довголіття;1
доведення;1
доведено;1
доводить;1
довільний;-1
довір'я;1
довірити;1
довірливий;1
довірливо;1
довірчий;1
довіряти;1
довіряють;1
довічний;-1
догана;-1
догматичний;-1
догнутий;-1
дожити;1
дозволити собі;1
доконати;-1
докорити;-1
докочуватися;-1
докучав;-1
докучати;-1
докучливий;-1
докірливий;-1
докірливо;-1
доленосна;-1
доленосно;-1
доля;1
домінер;-1
домінували;1
домінувати;1
домінує;1
домішка;-1
доноси;-1
доносити;-1
допитувати;-1
допитуючи;-1
доплата;1
доповнення;1
доповнено;1
доповнюючий;1
доповнює;1
допомагаючи;1
допомога;1
допоміг;1
допустимий;1
дорадник;-1
дорогоцінний;1
дорогоцінні камені;1
дорогою;1
дорожнеча;-1
дорікати;-1
досада;-1
досади;-1
досадна;-1
дослідження;1
достовірно;1
достойний;1
доступно;1
досягти;1
доте;1
доунер;-1
дохлий;-1
дохнути;-1
доходність;1
доцільний;1
доцільно;1
дошкуляти;-1
драгун;-1
дражливий;1
дражливо;1
драконічний;-1
драматичний;-1
дратуватися;-1
дроблення;-1
дросель;-1
дросельної заслінки;-1
другий клас;-1
другого рівня;-1
другосортний;-1
дружби;1
дружити;1
дружно;1
дружність;1
дрібний;-1
дрібно;1
дуже;-1
дужий;1
дурацький;-1
дурбелик;-1
дурепа;-1
дурити;-1
дурманний;1
дурник;-1
дурниця;-1
дурнуватий;-1
дути;-1
духовний;1
духовність;1
душбаг;-1
душити;-1
душно;-1
душові мішки;-1
дякувати;1
діаметрально;-1
діапазон;1
діатріба;-1
діатріби;-1
дівка;-1
дідько;-1
дідівщина;-1
діллі-далі;-1
діловий;1
діоксин;-1
дірка;-1
дітлахи;1
діяч;-1
дієвий;1
дієвість;1
е-е-е;1
егоманія;-1
ейфоричний;1
ейфорично;1
еквівалентний;1
екологічний;1
економити;-1
економічно ефективним;1
економія витрат;1
ексклюзивний;1
експансивний;1
експансія;-1
експепляр;1
експлуатації;-1
експресивний;1
експропрійований;-1
екстаз;1
екстази;1
екстатично;1
екстравагантний;1
екстравагантно;-1
екстравагантність;-1
екстремальний;1
екстремістів;-1
ексцентричний;-1
ексцентричність;-1
еластичний;1
елегантний;1
елегантно;1
елегантність;1
електризувати;1
елімінація;-1
еліта;1
елітний;1
емаскулювати;-1
ембарго;-1
емоційний;1
емпатія;1
емфізема;-1
еміненція;1
енергоефективними;1
енергозбереження;1
енергонезалежний;1
енергійний;1
ентузіазм;1
епатажність;-1
епохальний;1
епідемія;-1
епілептичний;-1
епічний;1
ергономічний;1
ерозія;-1
еротичний;-1
ерудований;1
ескапада;-1
есмінець;-1
естетичний;1
ефект;1
ефектний;1
ефемерний;-1
ефронтерія;-1
ефузивний;1
ефузивно;1
ефузивність;1
жаданий;1
жадібно;1
жалити;-1
жало;-1
жалувати;-1
жалюгідно;-1
жалюгідність;-1
жалібно;-1
жалісливий;1
жалісно;-1
жаркий;1
жарт;-1
жартівник;-1
жах;-1
жахатися;-1
жахає;-1
жахається;-1
жвавий;1
жебрацтво;-1
жебрацький;-1
жертва;-1
жертва аборту;-1
жертвувати;-1
жерти;-1
живити;1
живлення;1
живоносний;1
живоплот;-1
животрепетне;1
живучий;1
жид;-1
жидівський;-1
жирно;-1
жирність;-1
жировий;-1
жиру;-1
жирувати;-1
життєвий;1
життєздатний;1
життєстверджуючий;1
жовтяничний;-1
жолоб;-1
жопа;-1
жорстко;-1
жорсткіше;1
жорстокіший;-1
жриця;1
жування;1
жулик;-1
жура;-1
журливий;-1
журливо;-1
жіночна;1
жіночний;1
з вдячністю;1
з ентузіазмом;1
з жалем;-1
з жахом;1
з каяттям;-1
з ложки;-1
з нагодою;1
з осудом;-1
з повагою;1
з радістю;1
з розбитим серцем;-1
з сумом;-1
з'єднання;-1
з'їдливий;-1
з'їдливо;-1
за іронією долі;-1
заарештований;-1
забезпечення;1
забетонувати;-1
забивати;-1
заблудлий;-1
забобонний;-1
заболочений;-1
заборонено;-1
забороняти;-1
заборонятися;-1
забороняючи;-1
забруднені;-1
забруднювачі;-1
забруднюючий;-1
забруднює;-1
забуваючи;-1
забуваючий;-1
забудькувато;-1
забудькуватість;-1
забій;-1
завагітніти;-1
заважати;-1
заважають;-1
завалити;-1
завдано шкоди;-1
завербовувати;-1
завербувати;-1
завершити;1
завестися;-1
завивання;-1
завивати;-1
завидно;1
завинити;-1
зависає;-1
завищена оцінка;-1
завищена ціна;-1
завищує;-1
завмер;-1
заводний;1
заворожуюче;1
заворожує;1
завчасний;1
завязаний;-1
завіт;1
загадково;-1
загадковість;-1
загальнолюдський;1
загальносвітовий;1
заганяти;-1
загартований;-1
загартовувати;1
заговорювати;-1
загрожує життю;-1
загрозливо;-1
загрузнути;-1
загубити;-1
загублений;-1
задавлювати;-1
задавнений;-1
задерикуватий;1
задихатися;-1
задишка;1
задній;-1
задовільно;1
задумливо;1
задурити;-1
задушений;-1
задушливий;-1
задушливо;-1
задіяний;-1
зажертися;-1
зажурився;-1
заздалегідь;-1
зазнати невдачі;-1
зазубрений;-1
зазіхати;-1
зайнятий;-1
зайнятість;-1
зайобувати;-1
заклик;-1
заклинально;1
заклопотаність;-1
заклятий;1
заколотник;-1
закомплексований;-1
законно;1
законослухняна;1
закопувати;-1
закохуватися;1
закупорений;-1
закупорити;-1
закупорка;-1
закупорює;-1
закурювати;1
закусити;-1
закінчився термін дії;-1
закінчити;-1
закінчується;-1
залежний;-1
залучати;1
залучення;1
залюбки;1
залякувати;-1
залізничний;-1
заманили;1
заманити;1
заманливий;1
заманливо;1
замаскований;-1
замах;-1
замерзає;-1
замикати;-1
замкнутий;-1
замовкнути;-1
замовчувати;-1
заморожений;-1
заморожування;-1
заморозити;-1
заморочуватися;-1
заморський;1
замінний користувачем;1
занапастити;-1
занепадницький;-1
занепокоїтися;-1
занижений;-1
занудити;-1
занудний;-1
занудьгувати;-1
занурення;-1
заохочення;1
заохочувальний;1
заохочувати;1
заочний;-1
заощадження;1
заощаджувач;1
запалений;-1
запалити;-1
запальний;1
запаморочливий;1
запаморочливо;-1
запахи;-1
запахло;-1
запашний;1
запевнити;1
запевняючи;1
запеклий;-1
заперечуючи;-1
запилений;-1
заплутатися;-1
заплямовування;-1
заплямувати;-1
запобігати;1
заповзятливий;1
заподіювати;-1
заподіяний;-1
запороти;-1
запроданець;-1
запроторити;-1
запроторювати;-1
запідозрити;-1
запідозрювати;-1
заражати;-1
заражатися;-1
зараження;-1
зараза;-1
заразити;-1
заразний;-1
зарватися;-1
зарепетувати;-1
заробітчанин;-1
зарозумілий;-1
зарозуміло;-1
зарозумілість;-1
заручений;-1
зарядити енергією;1
зарядитися;1
зарізаний;-1
зарізати;-1
засвічуватись;-1
заслання;-1
заслуговує довіри;1
заслуговує на увагу;1
заслужити;1
засліплений;1
засліплювати;1
засліплюючий;-1
засмучуватися;-1
засмучуючи;-1
засмічений;-1
засмічуватися;-1
засмічується;-1
заспокоювати;1
заспокоюватися;1
заспокоїти;1
заспокійливо;1
застарівати;-1
застережливий;-1
застогнати;-1
застою;-1
застоюватися;-1
застрелюватися;-1
застряг;-1
застрягати;-1
застій;-1
засудження;-1
засуджуючи;-1
засуджує;-1
засіб;1
